,num_cores,core_freq,gpu_freq,emc_freq,cache_pressure,swappiness,dirty_ratio,dirty_bg_ratio,drop_caches,policy,sched_rt_runtime,sched_child_runs_first,memory_growth,inference_time,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,context-switches,cycles,instructions,irq_handler_entry,irq_handler_exit,softirq_entry,softirq_exit,softirq_raise,major-faults,migrations,sys_enter,sys_exit,sched_boost_cpu,sched_boost_task,sched_migrate_task,sched_process_exec,sched_process_exit,sched_process_fork,sched_process_free,sched_process_wait,sched_stat_runtime,sched_wakeup,sched_wakeup_new,sched_waking,total_energy_consumption
1330,2,1881600,318750000,1600000000,500,100,5,80,0,0,950000,0,0.9,20.931093949491416,397691256,817375568,779205895,51579545,1133636799,75835249,394983830,538916182,2953,8080833607,3536855790,2390,2390,2837,2837,2884,0,398,34126,33858,1722,3079,470,259,269,268,45,257,4579964256,3649,536,4281,37446
1331,3,960000,1198500000,1331200000,500,60,5,80,3,1,950000,0,0.9,11.16259419021287,337597165,712830014,694209567,43938785,1063313753,56622432,340045027,495265645,2369,7833199844,3244085403,1309,1309,2766,2766,2793,41,385,27675,27503,2398,1454,273,163,173,172,22,161,4339304000,2773,344,3937,27083
1332,1,1267200,624750000,408000000,500,100,5,80,3,0,950000,0,0.9,23.931209926905247,483794932,930983559,858557498,52307600,1347088548,76684566,493493932,606074795,4673,19535770067,4127415594,4422,4422,6793,6793,6899,0,968,39448,39120,4216,4864,822,319,329,328,65,317,11827887232,5520,656,6244,51478
1333,2,2265600,1236750000,204000000,0,10,50,10,0,0,950000,0,0.5,44.09129352996137,686526116,1213888887,1149657490,69923286,2053582278,94693492,680314604,790491210,8186,57069351440,5411185667,10387,10387,16551,16551,16748,0,1336,56380,55848,9046,6759,1129,523,533,532,171,521,30534720800,9655,1064,11333,112660
1334,3,1036800,318750000,800000000,500,10,50,80,3,0,950000,0,0.5,23.25119813303108,455272689,914784581,841425946,50092342,1285878552,73986057,459184251,583232720,4843,12144863269,3875087540,4196,4196,4480,4480,4560,0,503,37206,36902,3346,4586,386,295,305,304,49,293,7096073248,5487,608,6269,47057
1335,4,1728000,1198500000,1331200000,0,100,50,80,0,1,950000,1,0.9,12.361994816091151,319315585,723290718,662287125,41242780,1003317073,59035833,323899967,467371823,1999,7519489162,3140745817,1214,1214,2529,2529,2556,42,204,26500,26340,1988,1367,234,151,161,160,23,149,4092964704,2978,320,3614,27536
1336,1,2112000,216750000,204000000,100,100,50,10,3,0,950000,1,-1.0,42.399265864990525,817109536,1422710470,1326947462,89316436,2421736930,125441431,830021095,926110834,13403,68356011291,6285723048,16303,16303,19912,19912,20176,0,2072,65130,64466,10582,11692,2330,655,665,664,224,653,37902987232,15645,1328,17311,126395
1337,3,192000,1236750000,204000000,0,60,50,80,3,0,500000,1,0.5,42.866409475815026,693764644,1207567348,1143446491,71733251,2205840617,98245467,697484445,810416201,7904,59913971553,5530689435,10072,10072,16824,16824,17024,0,1754,57450,56894,13984,5974,1586,547,557,556,177,545,32018617792,9505,1112,10542,105979
1338,2,345600,216750000,408000000,500,100,50,10,3,0,500000,0,-1.0,40.49553656286212,639425585,1153393640,1097693446,69320525,1743175942,102450407,627948615,744987516,9858,25825104122,4974119267,9305,9305,9074,9074,9224,0,1380,51396,50900,7931,12549,1499,487,497,496,94,485,15625223328,11232,992,12034,71725
1339,2,422400,318750000,2133000000,500,60,50,80,3,0,500000,1,-1.0,23.210240910927023,455038029,872129070,860381897,55231507,1314861180,88186164,447637240,569001667,3754,8811081888,3794878840,2634,2634,3358,3358,3422,0,553,38522,38194,2891,3714,530,319,329,328,50,317,5207224960,4619,656,5377,39877
